id,Name,titleProject_id,class,score,login,password
1,Папандина Клавдия Яковлевна,304,9в5, Папандина_КЯ,yHFJPzvk
2,Белагина Галина Андреевна,396,9а4, Белагина_ГА,PKL6OxX5
3,Кижняева Анна Леонидовна,178,7и2, Кижняева_АЛ,OVX0VoAs
4,Цывин Олег Яковлевич,446,7т2, Цывин_ОЯ,tdorDKAa
5,Жидняева Ксения Эдуардовна,373,7х4, Жидняева_КЭ,4eg0nShH
6,Липковский Анатолий Иванович,144,10а2, Липковский_АИ,lhRHW4oF
7,Меднова Наталья Богдановна,290,7и5, Меднова_НБ,iXURUlIy
8,Житихин Вячеслав Романович,141,9а5, Житихин_ВР,0O5UlYRH
9,Шеврина Полина Максимовна,33,11а5, Шеврина_ПМ,OAawtoCs
10,Алпеев Валентин Данилович,323,8а2, Алпеев_ВД,pPH2JVLW
11,Золикова Клара Игоревна,364,10х2, Золикова_КИ,QENJRX29
12,Дориков Дмитрий Петрович,296,10г5, Дориков_ДП,OLUct3pr
13,Корабышев Кирилл Михаилович,302,8и5, Корабышев_КМ,C16iwdX9
14,Ростовиков Константин Николаевич,336,10а2, Ростовиков_КН,FOkUzmXT
15,Нехаев Дмитрий Фёдорович,129,7х4, Нехаев_ДФ,GnNHyp2P
16,Зызлова Мария Николаевна,430,8г3, Зызлова_МН,NNBNvkna
17,Королупов Валерий Тимофеевич,397,10д5, Королупов_ВТ,5eNy50xO
18,Стенцов Евгений Яковлевич,315,8и4, Стенцов_ЕЯ,32ET7BZo
19,Феклисов Константин Виталиевич,270,9тNone, Феклисов_КВ,TCDZd4Kp
20,Синелев Руслан Тимофеевич,300,8и2, Синелев_РТ,V2DnMVp3
21,Опевалова Вера Евгеньевна,473,9д5, Опевалова_ВЕ,OPpyZQMY
22,Назерова Вероника Василевна,206,7б5, Назерова_ВВ,90TcfziX
23,Дименская Светлана Дмитриевна,387,9д5, Дименская_СД,6VVZrHrE
24,Ковторева Раиса Василевна,482,9и2, Ковторева_РВ,5cEsVPlU
25,Кулишнин Вячеслав Яковлевич,386,11х5, Кулишнин_ВЯ,AwCJ9Xrt
26,Лексин Кирилл Антонович,139,7в5, Лексин_КА,MMBEnDgX
27,Лаковский Григорий Василиевич,240,7д5, Лаковский_ГВ,6yKRJKai
28,Барамыкова Александра Алексеевна,106,10а3, Барамыкова_АА,ZGmkMXS2
29,Плясулина Оксана Андреевна,346,8х2, Плясулина_ОА,sCfvIgjK
30,Петрикеев Станислав Яковлевич,14,7и4, Петрикеев_СЯ,7Iy0CySh
31,Моторыгин Илья Георгиевич,238,10и5, Моторыгин_ИГ,8OnR1BTe
32,Рыков Тарас Павлович,174,10и5, Рыков_ТП,yOZDazPR
33,Иончикова Елизавета Егоровна,169,8д5, Иончикова_ЕЕ,IDUPRtVI
34,Смолькина Алиса Егоровна,441,7г5, Смолькина_АЕ,TTmIz3BN
35,Оболенин Герасим Павлович,472,7и4, Оболенин_ГП,6AbUkPPz
36,Трощинский Георгий Борисович,67,9д3, Трощинский_ГБ,Ck3YaAon
37,Поддубская Лиза Игоревна,496,10а4, Поддубская_ЛИ,XEsM040d
38,Телькова Валерия Олеговна,335,7х4, Телькова_ВО,3CXSFAh4
39,Чигварина Александра Алексеевна,428,10б2, Чигварина_АА,U2FNTgQT
40,Киреевский Артур Игоревич,119,7в3, Киреевский_АИ,uSQ29Fh0
41,Шумейкин Роман Павлович,420,8в5, Шумейкин_РП,fts5sIpn
42,Трушинов Максим Алексиевич,82,8и4, Трушинов_МА,T3tvxFqK
43,Голюков Денис Сергеевич,62,11б4, Голюков_ДС,zyLOGHPE
44,Хлиманкова Надежда Валерьевна,461,10б3, Хлиманкова_НВ,MeL60XTz
45,Кулаженков Алексей Олегович,367,10в2, Кулаженков_АО,OjZHcYB6
46,Бутукин Владимир Адамович,221,7х5, Бутукин_ВА,NAdHoifm
47,Поддуев Леонид Олегович,149,9х4, Поддуев_ЛО,MDtQ30l4
48,Ревцев Василий Павлович,360,9х5, Ревцев_ВП,ARPOiqaf
49,Старокожев Артём Юрьевич,46,8д3, Старокожев_АЮ,eBuAGZ4q
50,Светошев Максим Михаилович,321,10х2, Светошев_ММ,qvm3aOoN
51,Старынина Кристина Федоровна,266,9д3, Старынина_КФ,61oESB0L
52,Востров Дмитрий Денисович,282,9г3, Востров_ДД,ef0ID2ql
53,Бураханова Анастасия Леонидовна,16,8г2, Бураханова_АЛ,9d0J86G1
54,Понизов Виктор Кириллович,214,11и5, Понизов_ВК,1FNIFQ9e
55,Суздалев Валерий Алексеевич,66,11т5, Суздалев_ВА,Z0Jae2mr
56,Колендин Дмитрий Алексеевич,153,10в4, Колендин_ДА,LFd2zk5g
57,Сулькова Екатерина Андреевна,325,8и4, Сулькова_ЕА,auGgcxHg
58,Аржевитова Надежда Федоровна,242,10в2, Аржевитова_НФ,n5WCLuZE
59,Крассов Валерий Олегович,201,8х5, Крассов_ВО,6VyCT5Kd
60,Сонураева Инна Андреевна,450,9т3, Сонураева_ИА,V8qDcLD8
61,Пашин Роман Вадимович,204,10д2, Пашин_РВ,h8pmdRBX
62,Фичкина Евгения Федоровна,29,11д3, Фичкина_ЕФ,OBgT8lCc
63,Свилин Олег Виталиевич,123,8в2, Свилин_ОВ,yYAfl0QK
64,Рогоцкий Андрей Адамович,142,9в2, Рогоцкий_АА,q4AfZBRJ
65,Ахантьев Игорь Валериевич,80,10д5, Ахантьев_ИВ,dHQBhXvI
66,Сочиникова Ксения Кирилловна,100,10д2, Сочиникова_КК,6CmzXG4h
67,Остюков Артур Романович,329,11и3, Остюков_АР,pDdy5Suz
68,Брюкина Оксана Викторовна,98,8в5, Брюкина_ОВ,APEPB5OR
69,Кузовенков Игорь Юрьевич,322,9гNone, Кузовенков_ИЮ,tHAmVjip
70,Калухов Тарас Иванович,207,11а3, Калухов_ТИ,4S0ePTYU
71,Батыров Пётр Виталиевич,227,7и3, Батыров_ПВ,XdIfy65D
72,Озрина Катерина Валерьевна,147,10а4, Озрина_КВ,i619Kpsc
73,Декалова Полина Леонидовна,470,11д5, Декалова_ПЛ,eB0cGRbZ
74,Лосицкий Владимир Кириллович,369,9т5, Лосицкий_ВК,jkmQUCVw
75,Магнусов Пётр Максимович,437,7и5, Магнусов_ПМ,ghhpXIgE
